FAY;KFAY;Fayetteville Regional Airport;34.9911111111, -78.8802777778
;;Maaten al-Sarra Air Base;21.7061111111, 21.8272222222
;EGAD;Newtownards Airport;54.5811111111, -5.69194444444
;RPVG;Guiuan Airport;11.0352777778, 125.741388889
AOS;;Amook Bay Seaplane Base;57.4714, -153.815
BGW;ORBI;Baghdad International Airport;33.2625, 44.2344444444
CSY;UWKS;Cheboksary Airport;56.09, 47.3472222222
;LFQC;Lunéville-Croismare Airport;48.593275, 6.54345555556
DTM;EDLW;Dortmund Airport;51.5183333333, 7.61222222222
MHG;EDFM;Mannheim City Airport;49.4725, 8.51416666667
BBH;EDBH;Stralsund Barth Airport;54.3380555556, 12.71
LGA;KLGA;LaGuardia Airport;40.77725, -73.8726111111
DCI;LIED;Decimomannu Air Base;39.3542222222, 8.97248055556
;ETNN;Nörvenich Air Base;50.8311666667, 6.65816666667
NPA;;Naval Air Station Pensacola;30.3541666667, -87.3055555556
YVR;CYVR;Vancouver International Airport;49.1947, -123.184
;EDFZ;Mainz Finthen Airport;49.9689305556, 8.14833611111
QEF;EDFE;Frankfurt Egelsbach Airport;49.9611111111, 8.64361111111
PEF;EDCP;Peenemünde Airfield;54.1577777778, 13.7727777778
BMK;EDWR;Borkum Airfield;53.5955555556, 6.70916666667
BBJ;EDRB;Bitburg Airport;49.9452777778, 6.565
SSH;HESH;Sharm el-Sheikh International Airport;27.977222, 34.394722
ISU;ORSU;Sulaimaniyah International Airport;35.560833, 45.314444
AGB;EDMA;Augsburg Airport;48.4251583333, 10.9317638889
GKE;ETNG;NATO Air Base Geilenkirchen;50.9608333333, 6.0425
DEN;KDEN;Denver International Airport;39.8616666667, -104.673055556
LUN;FLKK;Kenneth Kaunda International Airport;-15.3305555556, 28.4525
NAL;URMN;Nalchik Airport;43.5133333333, 43.6383333333
NWI;EGSH;Norwich International Airport;52.6758, 1.28278
;EIME;Casement Aerodrome;53.3016666667, -6.45111111111
;;Cascades Water Aerodrome;45.5858333333, -75.8680555556
LSE;KLSE;La Crosse Regional Airport;43.8791666667, -91.2566666667
BRC;SAZS;San Carlos de Bariloche Airport;-41.1511111111, -71.1575
JOE;EFJO;Joensuu Airport;62.6588888889, 29.6244444444
FAE;EKVG;Vágar Airport;62.0636111111, -7.27722222222
NWA;FMCI;Mohéli Bandar Es Eslam Airport;-12.2980555556, 43.7663888889
;EDRT;Trier-Föhren Airport;49.8635, 6.78816666667
YDQ;CYDQ;Dawson Creek Airport;55.7422, -120.183
DTN;KDTN;Shreveport Downtown Airport;32.5402777778, -93.745
KHV;UHHH;Khabarovsk Novy Airport;48.5280555556, 135.188333333
MUC;EDDM;Munich-Riem Airport;48.1377777778, 11.6902777778
TLS;LFBO;Toulouse–Blagnac Airport;43.635, 1.367778
;;Rosetown Airport;51.5644, -107.918
SPL;LYSP;Smederevska Palanka Airport;44.3499472222, 20.9596305556
RMQ;RCMQ;Taichung Airport;24.2646666667, 120.620580556
PRM;LPPM;Portimão Airport;37.1475, -8.57972222222
ZJI;LSZL;Locarno Airport;46.1619444444, 8.87972222222
BEW;FQBR;Beira Airport;-19.7963888889, 34.9075
VCP;SBKP;Viracopos International Airport;-23.0069444444, -47.1344444444
TRC;MMTC;Francisco Sarabia International Airport;25.5680555556, -103.410555556
HAV;MUHA;José Martí International Airport;22.9888888889, -82.4088888889
PEI;SKPE;Matecaña International Airport;4.8125, -75.7394444444
CBP;LPCO;Coimbra Airport;40.1561111111, -8.47
CND;LRCK;Mihail Kogălniceanu International Airport;44.3622222222, 28.4883333333
